,age,job,marital,education,default,housing,loan,duration,campaign,pdays,previous,poutcome,y
0,30,blue-collar,married,basic.9y,no,yes,no,487,2,999,0,nonexistent,0
1,39,services,single,high.school,no,no,no,346,4,999,0,nonexistent,0
2,25,services,married,high.school,no,yes,no,227,1,999,0,nonexistent,0
3,38,services,married,basic.9y,no,unknown,unknown,17,3,999,0,nonexistent,0
4,47,admin.,married,university.degree,no,yes,no,58,1,999,0,nonexistent,0
5,32,services,single,university.degree,no,no,no,128,3,999,2,failure,0
6,32,admin.,single,university.degree,no,yes,no,290,4,999,0,nonexistent,0
7,41,entrepreneur,married,university.degree,unknown,yes,no,44,2,999,0,nonexistent,0
8,31,services,divorced,professional.course,no,no,no,68,1,999,1,failure,0
9,35,blue-collar,married,basic.9y,unknown,no,no,170,1,999,0,nonexistent,0
10,25,services,single,basic.6y,unknown,yes,no,301,1,999,0,nonexistent,0
11,36,self-employed,single,basic.4y,no,no,no,148,1,999,0,nonexistent,0
12,36,admin.,married,high.school,no,no,no,97,2,999,0,nonexistent,0
13,47,blue-collar,married,basic.4y,no,yes,no,211,2,999,0,nonexistent,0
14,29,admin.,single,high.school,no,no,no,553,2,999,0,nonexistent,0
15,27,services,single,university.degree,no,no,no,698,2,999,0,nonexistent,0
16,44,admin.,divorced,university.degree,no,no,no,191,6,999,0,nonexistent,0
17,46,admin.,divorced,university.degree,no,yes,no,59,4,999,0,nonexistent,0
18,45,entrepreneur,married,university.degree,unknown,yes,yes,38,2,999,0,nonexistent,0
19,50,blue-collar,married,basic.4y,no,no,yes,849,1,999,0,nonexistent,1
20,55,services,married,basic.6y,unknown,yes,no,326,6,999,0,nonexistent,0
21,39,technician,divorced,high.school,no,no,no,222,1,12,2,success,1
22,29,technician,single,university.degree,no,yes,yes,626,3,999,0,nonexistent,0
23,40,management,married,high.school,no,no,yes,119,1,999,0,nonexistent,0
24,44,technician,married,professional.course,unknown,yes,no,388,7,999,0,nonexistent,0
25,38,technician,married,professional.course,no,yes,no,479,1,999,0,nonexistent,1
26,36,technician,divorced,professional.course,no,no,no,446,1,999,0,nonexistent,0
27,28,blue-collar,married,basic.6y,unknown,no,no,68,2,999,1,failure,0
28,47,admin.,single,unknown,unknown,no,no,127,1,999,0,nonexistent,0
29,34,admin.,married,university.degree,no,no,no,109,1,999,0,nonexistent,0
30,38,technician,married,university.degree,no,yes,yes,113,1,999,1,failure,0
31,33,services,married,high.school,unknown,yes,no,393,3,999,0,nonexistent,0
32,51,technician,single,university.degree,no,no,no,151,2,999,0,nonexistent,0
33,30,blue-collar,single,basic.4y,unknown,yes,no,256,1,999,0,nonexistent,0
